Unnamed: 0,district,roomnum,hall,AREA,C_floor,floor_num,school,subway,per_price
228792875,guangming,3,2,90.0,middle,45,0,0,5.3889
228851837,guangming,3,2,83.57,low,33,0,0,5.3847
228839414,guangming,3,2,83.57,low,33,0,0,5.3847
228935353,guangming,2,2,65.0,middle,17,1,0,5.3846
228570672,guangming,2,2,65.0,middle,17,1,0,5.3846
228614840,guangming,2,2,78.0,middle,30,0,0,5.3846
228970332,guangming,5,2,92.92,high,16,1,0,5.381
226747034,guangming,3,2,82.7,high,33,0,0,5.3809
228621162,guangming,5,2,158.0,high,16,1,0,5.3797
228839644,guangming,4,2,154.0,middle,16,1,0,5.3766
227901861,guangming,3,2,89.29,middle,40,1,0,5.3757
228811078,guangming,5,2,163.71,high,33,1,0,5.3754
228789537,guangming,3,2,80.0,middle,31,0,0,5.375
228819134,guangming,3,2,80.0,low,31,0,0,5.375
228549847,guangming,3,2,81.13,middle,33,0,0,5.3618
228932806,guangming,3,2,81.13,low,33,0,0,5.3618
228898126,guangming,2,2,65.3,middle,25,1,0,5.3599
227133698,guangming,4,2,84.9,middle,16,1,0,5.3592
228089248,guangming,3,2,112.0,middle,15,1,0,5.3571
228794169,guangming,2,2,67.26,middle,40,1,0,5.3524
227298596,guangming,2,2,71.0,middle,33,0,0,5.3521
227551452,guangming,1,1,34.2,middle,17,1,0,5.3509
228884658,guangming,1,1,44.9,middle,17,1,0,5.3452
228258573,guangming,4,2,88.5,middle,30,1,0,5.3446
228819107,guangming,3,2,79.0,low,31,0,0,5.343
228725958,guangming,3,2,88.0,low,33,0,0,5.3409
228488191,guangming,5,2,131.2,middle,33,1,0,5.3354
227601049,guangming,5,2,131.23,middle,33,1,0,5.3341
226812083,guangming,2,2,60.0,middle,33,1,0,5.3333
227861027,guangming,4,2,129.4,low,32,0,0,5.3323
228706139,guangming,3,2,89.18,low,32,0,0,5.3263
228293249,guangming,3,2,89.2,low,33,0,0,5.3251
228491787,guangming,4,2,127.83,middle,32,0,0,5.3196
228946827,guangming,2,2,81.8,middle,32,1,0,5.3178
228891514,guangming,3,2,79.0,middle,38,0,0,5.3165
228607631,guangming,3,2,73.0,low,33,0,0,5.3151
228569609,guangming,3,2,73.0,low,33,0,0,5.3151
228477841,guangming,2,2,48.0,middle,29,0,0,5.3125
227430379,guangming,3,2,88.49,low,33,1,0,5.3113
228369380,guangming,4,2,116.77,low,15,1,0,5.3096
228839919,guangming,6,2,179.0,middle,16,1,0,5.3073
227430894,guangming,2,2,77.28,low,28,1,0,5.3054
228462110,guangming,3,2,88.6,low,28,1,0,5.3047
228954603,guangming,3,2,79.82,middle,32,0,0,5.2994
228834986,guangming,4,2,88.72,high,32,1,0,5.2976
228679251,guangming,3,2,83.09,low,33,0,0,5.2955
226996852,guangming,3,2,83.09,low,33,0,0,5.2955
228772444,guangming,2,1,71.6,middle,32,0,0,5.2933
222585141,guangming,4,2,86.59,middle,33,1,0,5.2893
226105153,guangming,3,2,88.9,high,40,1,0,5.2868
228654924,guangming,3,2,88.7,low,31,0,0,5.2841
228044938,guangming,3,2,79.0,high,31,0,0,5.2785
228971671,guangming,2,2,72.0,middle,25,0,0,5.2778
228766172,guangming,3,2,72.0,low,32,0,0,5.2778
227861110,guangming,2,2,72.0,middle,32,0,0,5.2778
228924846,guangming,2,2,76.05,middle,17,1,0,5.2728
226802177,guangming,3,2,89.14,high,32,0,0,5.2726
227039547,guangming,3,2,89.14,high,32,0,0,5.2726
227039757,guangming,3,2,89.14,high,32,0,0,5.2726
228799573,guangming,3,2,81.56,low,15,1,0,5.2722
228929925,guangming,3,2,89.08,high,40,1,0,5.2649
226851165,guangming,3,2,38.0,high,29,0,0,5.2632
228549081,guangming,2,2,73.72,middle,39,0,0,5.2632
228188926,guangming,3,2,79.82,middle,39,0,0,5.2618
228530303,guangming,4,2,88.0,high,17,1,0,5.2614
228226329,guangming,1,1,27.0,middle,28,1,0,5.2593
228539122,guangming,1,1,27.0,middle,28,1,0,5.2593
227431040,guangming,4,2,127.4,middle,32,0,0,5.259
226889536,guangming,3,2,89.0,middle,35,0,0,5.2584
227219184,guangming,3,2,89.0,low,40,1,0,5.2584
228421741,guangming,3,2,89.0,high,32,0,0,5.2584
228970413,guangming,3,2,87.5,middle,39,0,0,5.2571
228794277,guangming,4,2,150.31,middle,31,0,0,5.2558
228572159,guangming,4,2,137.0,low,33,1,0,5.2555
228260389,guangming,2,2,41.49,low,6,1,0,5.2543
227039822,guangming,3,2,86.8,middle,30,1,0,5.2535
227844045,guangming,3,2,83.0,middle,35,0,0,5.253
228527950,guangming,2,2,64.0,high,17,1,0,5.25
228527948,guangming,3,2,88.0,middle,18,1,0,5.25
228129823,guangming,2,2,72.4,low,32,0,0,5.2486
228982957,guangming,2,2,72.4,low,32,0,0,5.2486
228834962,guangming,2,2,72.4,low,32,0,0,5.2486
228042851,guangming,2,2,72.4,low,32,0,0,5.2486
228980569,guangming,3,2,88.6,high,32,0,0,5.2483
228324180,guangming,2,2,82.9,high,34,1,0,5.2473
227596519,guangming,4,2,137.22,middle,15,1,0,5.247
227596582,guangming,4,2,137.22,middle,15,1,0,5.247
228559549,guangming,4,2,137.22,middle,15,1,0,5.247
228598484,guangming,4,2,87.3,high,40,1,0,5.2463
228314854,guangming,4,2,87.3,high,40,1,0,5.2463
227322324,guangming,3,2,89.6,high,16,1,0,5.2455
227224102,guangming,1,1,82.0,low,17,1,0,5.2439
226743487,guangming,3,2,88.88,high,32,0,0,5.243
228810129,guangming,3,2,86.8,middle,28,1,0,5.2419
228951351,guangming,3,2,86.8,middle,28,1,0,5.2419
227220964,guangming,3,2,79.2,middle,31,0,0,5.2399
227155796,guangming,3,2,79.2,middle,31,0,0,5.2399
228497669,guangming,5,2,181.34,middle,26,1,0,5.2388
228540368,guangming,3,2,87.83,low,32,0,0,5.2374
228042529,guangming,2,2,72.58,high,34,0,0,5.2356
228093976,guangming,2,2,76.05,middle,17,1,0,5.2334
228281617,guangming,3,2,87.0,low,28,1,0,5.2299
